AUTHOR_KEY,AUTHOR_NAME,AUTHOR_AUX,AUTHOR_BIBTEX,AUTHOR_ORCID
books/mk/ZanioloCFSSZ97,Carlo Zaniolo,,,
books/mk/ZanioloCFSSZ97,Stefano Ceri,,,
books/mk/ZanioloCFSSZ97,Christos Faloutsos,,,
books/mk/ZanioloCFSSZ97,Richard T. Snodgrass,,,
books/mk/ZanioloCFSSZ97,V. S. Subrahmanian,,,
books/mk/ZanioloCFSSZ97,Roberto Zicari,,,
books/mk/Olson03,Jack E. Olson,,,
books/mk/Sayood96,Khalid Sayood,,,
books/mk/Lesk97,Michael Lesk,,,
books/mk/Mueller2006,Erik T. Mueller,,,
books/mk/DittrichG00,Klaus R. Dittrich,,,
books/mk/DittrichG00,Andreas Geppert,,,
books/mk/YuM97,Clement T. Yu,,,
books/mk/YuM97,Weiyi Meng,,,
books/mk/Giampaolo99,Dominic Giampaolo,,,
books/mk/Herlihy2013,Maurice Herlihy,,,
books/mk/Herlihy2013,Dmitry N. Kozlov,,,
books/mk/Herlihy2013,Sergio Rajsbaum,,,
books/mk/CooperT2004,Keith D. Cooper,,,
books/mk/CooperT2004,Linda Torczon,,,
books/mk/Chamberlin96,Donald D. Chamberlin,,,
books/mk/JacobNW2008,Bruce L. Jacob,,,
books/mk/JacobNW2008,Spencer W. Ng,,,
books/mk/JacobNW2008,David T. Wang,,,
books/mk/Walther87,Christoph Walther,,,
books/mk/Hackathorn98,Richard D. Hackathorn,,,
books/mk/Feiler99,Jesse Feiler,,,
books/mk/Muchnick1997,Steven S. Muchnick,,,
books/mk/Celko99a,Joe Celko,,,
books/mk/Muller99,Robert J. Muller,,,
books/mk/Cattell94,R. G. G. Cattell,,,
books/mk/Snodgrass99,Richard T. Snodgrass,,,
books/mk/Simon95,Alan R. Simon,,,
books/mt/NelsonG1996,Mark Nelson,,,
books/mt/NelsonG1996,Jean-Loup Gailly,,,
books/emf/Mokhov03,Thao Vo,,,
books/emf/Mokhov03,Armand St-Pierre,,,
books/emf/Mokhov03,Serguei A. Mokhov,,,
books/av/muller14,Dirk Müller 0002,,,
books/shaker/Klasing96,Ralf Klasing,,,
books/shaker/Moerkotte95,Guido Moerkotte,,,
books/csli/Brewka97,Gerhard Brewka,,,
books/csli/Brewka97,Jürgen Dix,,,
books/csli/Brewka97,Kurt Konolige,,,
books/csli/Uszkoreit87,Hans Uszkoreit,,,
books/csli/Shieber86,Stuart M. Shieber,,,
books/ms/Geiger95,Kyle Geiger,,,
books/ms/Rogerson97,Dale Rogerson,,,
books/bc/KumarGGK94,Vipin Kumar,,,
books/bc/KumarGGK94,Ananth Grama,,,
books/bc/KumarGGK94,Anshul Gupta,,,
books/bc/KumarGGK94,George Karypis,,,
books/bc/ElmasriN94,Ramez Elmasri,,,
books/bc/ElmasriN94,Shamkant B. Navathe,,,
books/bc/MaierW88,David Maier,,,
books/bc/MaierW88,David Scott Warren,,,
books/bc/ElmasriN89,Ramez Elmasri,,,
books/bc/ElmasriN89,Shamkant B. Navathe,,,
