CDROM_KEY,CDROM_NAME
conf/icde/LeeB92,ICDE92/P040.pdf
conf/icde/KemperK93,ICDE93/P155.pdf
conf/icde/ChaudhuriFB99,DiSC2_1/out/papers/icde/00710470.pdf
conf/icde/Wolfson84,ICDE84/P315.pdf
conf/icde/ChangMASSS97,ICDE97/P375.pdf
conf/icde/LakshmiY89,ICDE89/P488.pdf
conf/icde/KanthB88,ICDE88/P354.pdf
conf/icde/BellAD88,ICDE88/P168.pdf
conf/icde/Ellis84,ICDE84/P544.pdf
conf/icde/HuangJR97,ICDE97/P477.pdf
conf/icde/RamanujapuramG96,ICDE96/P247.pdf
conf/icde/Johannesson94,ICDE94/P190.pdf
conf/icde/ToriiKYSTKTI87,ICDE87/P182.pdf
conf/icde/ZouSL98,ICDE98/P578.pdf
conf/icde/ShenOL94,ICDE94/P274.pdf
conf/icde/LeeS89,ICDE89/P497.pdf
conf/icde/SchreflTW84,ICDE84/P120.pdf
conf/icde/Graefe94,ICDE94/P406.pdf
conf/icde/Wolfson87,ICDE87/P259.pdf
conf/icde/Frieder89,ICDE89/P674.pdf
conf/icde/PramanikL99,DiSC2_1/out/papers/icde/00710251.pdf
conf/icde/LaurentLS92,ICDE92/P420.pdf
conf/icde/SakaiH84,ICDE84/P492.pdf
conf/icde/GladneyLM87,ICDE87/P570.pdf
conf/icde/MossLC87,ICDE87/P096.pdf
conf/icde/StonebrakerADLO94,ICDE94/P054.pdf
conf/icde/SippuS88,ICDE88/P470.pdf
conf/icde/Melton96,ICDE96/P666.pdf
conf/icde/GoersH93,ICDE93/P373.pdf
conf/icde/BhargavaLL90,ICDE90/P182.pdf
conf/icde/YuLGTBC86,ICDE86/P086.pdf
conf/icde/ShekharKC93,ICDE93/P031.pdf
conf/icde/SchreflN88,ICDE88/P004.pdf
conf/icde/SarathySG93,ICDE93/P081.pdf
conf/icde/DavidsonK97,ICDE97/P055.pdf
conf/icde/CeriFP97,ICDE97/P579.pdf
conf/icde/RabinovichL94,ICDE94/P043.pdf
conf/icde/IshikawaIYHM86,ICDE86/P134.pdf
conf/icde/Chomicki92,ICDE92/P557.pdf
conf/icde/LakshmananSGK98,ICDE98/P134.pdf
conf/icde/Sharra93,ICDE93/P495.pdf
conf/icde/BrinkhoffKS93,ICDE93/P040.pdf
conf/icde/HuangW93,ICDE93/P310.pdf
conf/icde/MuthR91,ICDE91/P296.pdf
conf/icde/Eick84,ICDE84/P324.pdf
conf/icde/BilirisP95,ICDE95/P035.pdf
conf/icde/LinD98,ICDE98/P486.pdf
conf/icde/HuangW94,ICDE94/P020.pdf
conf/icde/NodineBN99,DiSC2_1/out/papers/icde/00710358.pdf
conf/icde/Mukkamala89,ICDE89/P513.pdf
conf/icde/IwaiharaI95,ICDE95/P467.pdf
conf/icde/Zeldin99,DiSC2_1/out/papers/icde/00710065.pdf
conf/icde/KoonO86,ICDE86/P565.pdf
conf/icde/YuZMKWPD95,ICDE95/P090.pdf
conf/icde/CornelioND90,ICDE90/P220.pdf
conf/icde/RitterMHGS94,ICDE94/P440.pdf
conf/icde/CaiCH90,ICDE90/P281.pdf
conf/icde/KellerBNDB96,ICDE96/P612.pdf
conf/icde/RamakrishnaP91,ICDE91/P464.pdf
conf/icde/CheineyK88,ICDE88/P394.pdf
conf/icde/GalaNB93,ICDE93/P283.pdf
conf/icde/HibinoR98,ICDE98/P458.pdf
conf/icde/Shan92,ICDE92/P449.pdf
conf/icde/Rebbapragada86,ICDE86/P629.pdf
conf/icde/ScioreS90,ICDE90/P146.pdf
conf/icde/Teuhola94,ICDE94/P348.pdf
conf/icde/Jain98,ICDE98/P252.pdf
conf/icde/ManinoCB89,ICDE89/P018.pdf
conf/icde/Rowe84,ICDE84/P107.pdf
conf/icde/BiskupB89,ICDE89/P348.pdf
conf/icde/MinouraP84,ICDE84/P300.pdf
conf/icde/PetitTBK96,ICDE96/P218.pdf
conf/icde/SegevZ91,ICDE91/P404.pdf
conf/icde/BreitbartOT86,ICDE86/P301.pdf
conf/icde/TroyerJ93,ICDE93/P678.pdf
conf/icde/PiraheskLH97,ICDE97/P391.pdf
conf/icde/OshikaEMT88,ICDE88/P480.pdf
conf/icde/HongM90,ICDE90/P011.pdf
conf/icde/WhiteJ96,ICDE96/P516.pdf
conf/icde/RotemS87,ICDE87/P547.pdf
conf/icde/Gligor86,ICDE86/P608.pdf
conf/icde/ZhangR99,DiSC2_1/out/papers/icde/00710253.pdf
conf/icde/MarklZB99,DiSC2_1/out/papers/icde/00710562.pdf
conf/icde/HoutsmaS95,ICDE95/P025.pdf
conf/icde/Neuhold89,ICDE89/P257.pdf
conf/icde/OzdenRS98,ICDE98/P412.pdf
conf/icde/LingS95,ICDE95/P532.pdf
conf/icde/BernsteinGLL98,ICDE98/P436.pdf
conf/icde/TirriR87,ICDE87/P298.pdf
conf/icde/YongLK94,ICDE94/P518.pdf
conf/icde/PenalozaO92,ICDE92/P020.pdf
conf/icde/Lin89,ICDE89/P582.pdf
conf/icde/GoyalLRS88,ICDE88/P304.pdf
conf/icde/HeinemanK97,ICDE97/P562.pdf
conf/icde/AgarwalKWS95,ICDE95/P495.pdf
conf/icde/DunkelS99,DiSC2_1/out/papers/icde/00710522.pdf
conf/icde/Campbell96,ICDE96/P162.pdf
conf/icde/ChuLC91,ICDE91/P396.pdf
conf/icde/UrbanD89,ICDE89/P010.pdf
conf/icde/Whang89,ICDE89/P675.pdf
conf/icde/TangN89,ICDE89/P530.pdf
conf/icde/Biliris92,ICDE92/P301.pdf
conf/icde/HamonK95,ICDE95/P428.pdf
conf/icde/HayneR90,ICDE90/P402.pdf
conf/icde/RajuM86,ICDE86/P312.pdf
conf/icde/ShethLCN88,ICDE88/P176.pdf
conf/icde/TsotrasG92,ICDE92/P358.pdf
conf/icde/BlahaPBSKH90,ICDE90/P237.pdf
