EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
books/idea/irm05,Yannis Manolopoulos,,
books/idea/irm05,Apostolos Papadopoulos,,
books/idea/irm05,Michael Vassilakopoulos,,
books/idea/Siau01,Keng Siau,,
books/idea/Siau01,Terry A. Halpin,,
books/idea/Rafanelli03,Maurizio Rafanelli,,
books/idea/Becker03,Shirley A. Becker,,
books/idea/Taniar03,David Taniar,,
books/idea/Taniar03,J. Wenny Rahayu,,
books/eh/AbramskyH87,Samson Abramsky,,
books/eh/AbramskyH87,Chris Hankin,,
books/ol/cscl2004,Jörg M. Haake,,
books/ol/cscl2004,Gerhard Schwabe,,
books/ol/cscl2004,Martin Wessner,,
books/ox/AG1997,Alberto Apostolico,,
books/ox/AG1997,Zvi Galil,,
books/ox/WangSS99,Jason Tsong-Li Wang,,
books/ox/WangSS99,Bruce A. Shapiro,,
books/ox/WangSS99,Dennis E. Shasha,,
books/ox/LAI2Hb94,Dov M. Gabbay,,
books/ox/LAI2Hb94,Christopher J. Hogger,,
books/ox/LAI2Hb94,J. A. Robinson,,
books/ox/LAI2Hb94,Jörg H. Siekmann,,
books/ws/WangWW03,Jason Tsong-Li Wang,,
books/ws/WangWW03,Cathy H. Wu,,
books/ws/WangWW03,Paul P. Wang,,
books/ws/automata12,Deepak D'Souza,,
books/ws/automata12,Priti Shankar,,
books/ws/MV2010,Carlos Martín-Vide,,
books/ws/PhaunRS01,Gheorghe Paun,,
books/ws/PhaunRS01,Grzegorz Rozenberg,,
books/ws/PhaunRS01,Arto Salomaa,,
books/ws/Perthame94,Benoît Perthame,,
books/ws/BMW07,Sanghamitra Bandyopadhyay,,
books/ws/BMW07,Ujjwal Maulik,,
books/ws/BMW07,Jason Tsong-Li Wang,,
books/others/red,Peter Bailis,,
books/others/red,Joseph M. Hellerstein,,
books/others/red,Michael Stonebraker,,
books/igi/Erickson2009,John Erickson,,
books/igi/Chiong2010a,Raymond Chiong,,
books/igi/Galindo2008,José Galindo,,
books/igi/HinzeB2010,Annika Hinze,,0000-0002-7383-1134
books/igi/HinzeB2010,Alejandro P. Buchmann,,
books/igi/Sakr2011,Sherif Sakr,,
books/igi/Sakr2011,Eric Pardede,,
books/igi/Chiong2010,Raymond Chiong,,
books/igi/Taniar2010,David Taniar,,
books/igi/Taniar2010,Laura Irina Rusu,,
books/igi/SiauE2010,Keng Siau,,
books/igi/SiauE2010,John Erickson,,
books/daglib/0028080,Shuvra S. Bhattacharyya,,
books/daglib/0028080,Ed F. Deprettere,,
books/daglib/0028080,Rainer Leupers,,
books/daglib/0028080,Jarmo Takala,,0000-0003-0097-1010
books/daglib/0038490,M. Brian Blake,,
books/daglib/0038490,Liliana Cabral,,
books/daglib/0038490,Birgitta König-Ries,,0000-0002-2382-9722
books/daglib/0038490,Ulrich Küster,,
books/daglib/0038490,David Martin,,
books/daglib/0032928,Rainer Böhme,,
books/daglib/0025729,Johannes Fürnkranz,,0000-0002-1207-0159
books/daglib/0025729,Eyke Hüllermeier,,
books/daglib/0036989,Gerrit Bloothooft,,
books/daglib/0036989,Peter Christen,,
books/daglib/0036989,Kees Mandemakers,,
books/daglib/0036989,Marijn Schraagen,,
books/daglib/0037626,Jan Bosch,,
books/daglib/0028682,Michael W. Berry,,0000-0002-9191-9148
books/daglib/0028682,Kyle A. Gallivan,,
books/daglib/0028682,Efstratios Gallopoulos,,
books/daglib/0028682,Ananth Grama,,
books/daglib/0028682,Bernard Philippe,,
books/daglib/0027797,Borko Furht,,
books/daglib/0032296,Jonathan P. Bowen,,0000-0002-8748-6140
books/daglib/0032296,Suzanne Keene,,
books/daglib/0032296,Kia Ng,,
books/daglib/0024002,Mohamed Medhat Gaber,,0000-0003-0339-4474
books/daglib/0035342,Åsa Hirvonen,,
books/daglib/0035342,Juha Kontinen,,
books/daglib/0035342,Roman Kossak,,
books/daglib/0035342,Andrés Villaveces,,
books/daglib/0028544,Yao-Hua Tan,,
books/daglib/0028544,Niels Bjørn-Andersen,,
books/daglib/0028544,Stefan Klein,,
books/daglib/0028544,Boriana Rukanova,,
books/daglib/0026799,Henry Horng-Shing Lu,,
books/daglib/0026799,Bernhard Schölkopf,,
books/daglib/0026799,Hongyu Zhao,,
books/daglib/0031641,Ken Naono,,
books/daglib/0031641,Keita Teranishi,,
books/daglib/0031641,John Cavazos,,
books/daglib/0031641,Reiji Suda,,
books/daglib/0028639,Wolfgang E. Nagel,,
books/daglib/0028639,Dietmar B. Kröner,,
books/daglib/0028639,Michael M. Resch,,
books/daglib/0015144,José C. Cunha,,
books/daglib/0015144,Omer F. Rana,,
books/daglib/0038860,Wolfgang Reif,,
books/daglib/0038860,Gerrit Anders,,
books/daglib/0038860,Hella Seebach,,
books/daglib/0038860,Jan-Philipp Steghöfer,,
books/daglib/0038860,Elisabeth André,,
books/daglib/0038860,Jörg Hähner,,
books/daglib/0038860,Christian Müller-Schloer,,
books/daglib/0038860,Theo Ungerer,,
books/daglib/0027654,Paris Avgeriou,,
books/daglib/0027654,John Grundy,,0000-0003-4928-7076
books/daglib/0027654,Jon G. Hall,,
books/daglib/0027654,Patricia Lago,,
books/daglib/0027654,Ivan Mistrík,,
books/daglib/0035620,Haim Kilov,,
books/daglib/0035620,Bernhard Rumpe,,
books/daglib/0035620,Ian Simmonds,,
books/daglib/0031898,Henning Müller,,
books/daglib/0031898,Paul D. Clough,,
books/daglib/0031898,Thomas Deselaers,,
books/daglib/0031898,Barbara Caputo,,
books/daglib/0026654,David W. Embley,,
books/daglib/0026654,Bernhard Thalheim,,0000-0002-7909-7786
books/daglib/0025467,Shlomo Argamon,,
books/daglib/0025467,Kevin Burns,,
books/daglib/0025467,Shlomo Dubnov,,
books/daglib/0032327,Wolfgang E. Nagel,,
books/daglib/0032327,Dietmar H. Kröner,,
books/daglib/0032327,Michael M. Resch,,
books/daglib/0037573,Ingrid Hotz,,
books/daglib/0037573,Thomas Schultz 0001,,
books/daglib/0032645,Mireille Hildebrandt,,
books/daglib/0032645,Serge Gutwirth,,
books/daglib/0032299,Iris Reinhartz-Berger,,
books/daglib/0032299,Arnon Sturm,,
books/daglib/0032299,Tony Clark,,
books/daglib/0032299,Sholom Cohen,,
books/daglib/0032299,Jorn Bettin,,
books/daglib/0040391,Heather O'Brien,,
books/daglib/0040391,Paul A. Cairns,,
books/daglib/0037863,Jirí Matousek,,
books/daglib/0037863,Jaroslav Nesetril,,
books/daglib/0037863,Marco Pellegrini,,
books/daglib/0039015,Alberto L. Sangiovanni-Vincentelli,,
books/daglib/0039015,Haibo Zeng,,
books/daglib/0039015,Marco Di Natale,,
books/daglib/0039015,Peter Marwedel,,
books/daglib/0025717,M. Elizabeth C. Hull,,
books/daglib/0025717,Ken Jackson,,
books/daglib/0025717,Jeremy Dick,,
books/daglib/0015194,Nikos Paragios,,
books/daglib/0015194,Yunmei Chen,,
books/daglib/0015194,Olivier D. Faugeras,,
books/daglib/0033349,Massimo Cossentino,,
books/daglib/0033349,Vincent Hilaire,,
books/daglib/0033349,Ambra Molesini,,
books/daglib/0033349,Valeria Seidita,,
books/daglib/0024007,Stefano Nolfi,,
books/daglib/0024007,Marco Mirolli,,
books/daglib/0031822,Janis A. Bubenko Jr.,,
books/daglib/0031822,John Krogstie,,
books/daglib/0031822,Oscar Pastor,,
books/daglib/0031822,Barbara Pernici,,
books/daglib/0031822,Colette Rolland,,
books/daglib/0031822,Arne Sølvberg,,
books/daglib/0029209,Christian Chiarcos,,
books/daglib/0029209,Berry Claus,,
