PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
conf/icde/94,IEEE Computer Society,
conf/icde/2007,IEEE Computer Society,
conf/icde/2000,IEEE Computer Society,
conf/icde/2010w,IEEE Computer Society,
conf/icde/2013w,IEEE Computer Society,
conf/icde/97,IEEE Computer Society,
conf/icde/92,IEEE Computer Society,
conf/icde/91,IEEE Computer Society,
conf/icde/2012w,IEEE Computer Society,
conf/icde/2013,IEEE Computer Society,
conf/icde/87,IEEE Computer Society,
conf/icde/86,IEEE Computer Society,
conf/icde/2017,IEEE Computer Society,
conf/icde/2014,IEEE Computer Society,
conf/icde/2015,IEEE Computer Society,
conf/icde/2010,IEEE Computer Society,
conf/icde/2004,IEEE Computer Society,
conf/gr/1986,Springer,
conf/IEEEcsa/2009,IEEE,
conf/rssrail/2016,Springer,
conf/qtna/2016,ACM,
conf/icghpc/2016,IEEE,
conf/smbm/2016,CEUR-WS.org,
conf/smbm/2010,CEUR-WS.org,
conf/iwcls/1999,Springer,
conf/recsys/2015empire,ACM,
conf/recsys/2016empire,CEUR-WS.org,
conf/recsys/2012decisions,CEUR-WS.org,
conf/recsys/2011divers,CEUR-WS.org,
conf/recsys/2015localrec,CEUR-WS.org,
conf/recsys/2009,ACM,
conf/recsys/2012,ACM,
conf/recsys/2014rsweb,CEUR-WS.org,
conf/recsys/2011,ACM,
conf/recsys/2015p,CEUR-WS.org,
conf/recsys/2008,ACM,
conf/recsys/2014cbrecsys,CEUR-WS.org,
conf/recsys/2016cbrecsys,CEUR-WS.org,
conf/recsys/2014p,CEUR-WS.org,
conf/recsys/2015intrs,CEUR-WS.org,
conf/recsys/2012rue,CEUR-WS.org,
conf/recsys/2015inra,CEUR-WS.org,
conf/recsys/2016,ACM,
conf/recsys/2016intrs,CEUR-WS.org,
conf/recsys/2013repsys,ACM,
conf/recsys/2007,ACM,
conf/recsys/2010prsat,CEUR-WS.org,
conf/recsys/2015challenge,ACM,
conf/recsys/2015cbrecsys,CEUR-WS.org,
conf/recsys/2013,ACM,
conf/recsys/2010recsystel,Elsevier,
conf/recsys/2014,ACM,
conf/recsys/2015,ACM,
conf/recsys/2016challenge,ACM,
conf/recsys/2010,ACM,
conf/recsys/2016rectour,CEUR-WS.org,
conf/recsys/2013decisions,CEUR-WS.org,
conf/recsys/2016p,CEUR-WS.org,
conf/lll/1999,Springer,
conf/sbs/2004,INSTICC Press,
conf/dasc/2009,IEEE Computer Society,
conf/dasc/2011,IEEE Computer Society,
conf/dasc/2016,IEEE Computer Society,
conf/dasc/2006,IEEE Computer Society,
conf/dasc/2007,IEEE Computer Society,
conf/dasc/2013,IEEE Computer Society,
conf/dasc/2014,IEEE Computer Society,
conf/dir/2013,CEUR-WS.org,
conf/cidu/2012,IEEE,
conf/cidu/2011,NASA Ames Research Center,
conf/cidu/2010,NASA Ames Research Center,
conf/icdar/2013afha,CEUR-WS.org,
conf/icdar/1995-2,IEEE Computer Society,
conf/icdar/2015hip,ACM,
conf/icdar/1999,IEEE Computer Society,
conf/icdar/1995-1,IEEE Computer Society,
conf/icdar/2009,IEEE Computer Society,
conf/icdar/2003,IEEE Computer Society,
conf/icdar/2001,IEEE Computer Society,
conf/icdar/1993,IEEE,
conf/icdar/2011,IEEE Computer Society,
conf/icdar/2013hip,ACM,
conf/icdar/2011hip,ACM,
conf/icdar/2005,IEEE Computer Society,
conf/icdar/2009mocr,ACM,
conf/icdar/2013mocr,ACM,
conf/icdar/2007,IEEE Computer Society,
conf/icdar/2013,IEEE Computer Society,
conf/icdar/2015,IEEE Computer Society,
conf/icdar/1997,IEEE Computer Society,
conf/infoscale/2009,Springer,
conf/infoscale/2008,ICST / ACM,
conf/infoscale/2006,ACM,
conf/infoscale/2007,ACM,
conf/infoscale/2014,Springer,
conf/ipsn/2009,ACM,
conf/ipsn/2003,Springer,
conf/ipsn/2013conet,CEUR-WS.org,
conf/ipsn/2012,ACM,
conf/ipsn/2011,IEEE,
conf/ipsn/2008,IEEE Computer Society,
conf/ipsn/2005,IEEE,
conf/ipsn/2016,IEEE,
conf/ipsn/2006,ACM,
conf/ipsn/2007,ACM,
conf/ipsn/2014ubicitec,CEUR-WS.org,
conf/ipsn/2013,ACM,
conf/ipsn/2017,ACM,
conf/ipsn/2014,IEEE/ACM,
conf/ipsn/2015,ACM,
conf/ipsn/2010,ACM,
conf/ipsn/2004,ACM,
conf/captech/1998,Springer,
conf/cgim/2003,IASTED/ACTA Press,
conf/cgim/2005,IASTED/ACTA Press,
conf/edo/2005,ACM,
conf/edo/2002,Springer,
conf/edo/2006,ACM,
conf/edo/2000,Springer,
conf/softcom/2012,IEEE,
conf/softcom/2016,IEEE,
conf/softcom/2014openiot,Springer,
conf/softcom/2013,IEEE,
conf/softcom/2014,IEEE,
conf/softcom/2015,IEEE,
conf/compeng/2012,IEEE,
conf/compeng/2014,IEEE,
conf/compeng/2010,IEEE Computer Society,
conf/hcw/1999,IEEE Computer Society,
conf/hcw/1998,IEEE Computer Society,
conf/hcw/2000,IEEE Computer Society,
conf/hcw/1997,IEEE Computer Society,
conf/maamaw/1999,Springer,
conf/maamaw/1993,Springer,
conf/maamaw/1994,Springer,
conf/maamaw/1992,Springer,
conf/maamaw/1996,Springer,
conf/maamaw/1997,Springer,
conf/iadis/2005celda,IADIS,
conf/iadis/2009ac,IADIS Press,
conf/iadis/2005ac,IADIS,
conf/iadis/2008dm,IADIS,
conf/iadis/2003icwi,IADIS,
conf/iadis/2002icwi,IADIS,
conf/iadis/2004icwi,IADIS,
conf/iadis/2008el,IADIS,
conf/iadis/2004celda,IADIS,
conf/atis/2017,Springer,
conf/wf-iot/2016,IEEE Computer Society,
conf/wf-iot/2014,IEEE Computer Society,
conf/wf-iot/2015,IEEE Computer Society,
conf/gmp/2003,IEEE Computer Society,
conf/gmp/2008,Springer,
conf/gmp/2002,IEEE Computer Society,
conf/gmp/2006,Springer,
conf/gmp/2000,IEEE Computer Society,
conf/gmp/2010,Springer,
conf/gmp/2004,IEEE Computer Society,
conf/healthcom/2012,IEEE,
conf/healthcom/2016,IEEE,
conf/healthcom/2013,IEEE,
conf/healthcom/2014,IEEE,
conf/healthcom/2015,IEEE,
conf/cae/2009,Eurographics Association,
conf/cae/2012,Eurographics Association,
conf/cae/2011,Eurographics Association,
conf/cae/2008,Eurographics Association,
conf/cae/2005,Eurographics Association,
conf/cae/2007,Eurographics Association,
conf/cae/2013,ACM,
conf/cae/2014,ACM,
conf/cae/2015,Eurographics Association,
conf/minar/1998,Springer,
conf/globecom/2015w,IEEE,
conf/globecom/2009,IEEE,
conf/globecom/2016w,IEEE,
conf/globecom/2003,IEEE,
conf/globecom/2001,IEEE,
conf/globecom/2012,IEEE,
conf/globecom/2014w,IEEE,
conf/globecom/2011,IEEE,
conf/globecom/2008,IEEE,
conf/globecom/2011w,IEEE,
conf/globecom/2005,IEEE,
conf/globecom/2002,IEEE,
conf/globecom/2016,IEEE,
conf/globecom/2006,IEEE,
conf/globecom/2007,IEEE,
conf/globecom/2000,IEEE,
conf/globecom/2013w,IEEE,
conf/globecom/2012w,IEEE,
conf/globecom/2013,IEEE,
conf/globecom/2014,IEEE,
conf/globecom/2015,IEEE,
conf/globecom/2010,IEEE,
conf/globecom/2004,IEEE,
conf/saso/2015w,IEEE Computer Society,
conf/saso/2009,IEEE Computer Society,
conf/saso/2012,IEEE Computer Society,
conf/saso/2014w,IEEE Computer Society,
conf/saso/2011,IEEE Computer Society,
conf/saso/2008,IEEE Computer Society,
conf/saso/2011w,IEEE Computer Society,
conf/saso/2016fasw,IEEE,
conf/saso/2016,IEEE Computer Society,
conf/saso/2008w,IEEE Computer Society,
conf/saso/2007,IEEE Computer Society,
conf/saso/2010w,IEEE Computer Society,
conf/saso/2013w,IEEE Computer Society,
conf/saso/2012w,IEEE Computer Society,
conf/saso/2013,IEEE Computer Society,
conf/saso/2014,IEEE Computer Society,
conf/saso/2015,IEEE Computer Society,
conf/saso/2010,IEEE Computer Society,
conf/iimss/2016,Springer,
conf/iimss/2013,IOS Press,
conf/xmlsec/2003,ACM,
conf/xmlsec/2002,ACM,
conf/ssv/2011,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,
conf/ssv/2010,USENIX Association,
conf/wollic/2009,Springer,
conf/wollic/2012,Springer,
conf/wollic/2011,Springer,
conf/wollic/2008,Springer,
conf/wollic/2016,Springer,
conf/wollic/2007,Springer,
conf/wollic/2013,Springer,
conf/wollic/2017,Springer,
conf/wollic/2014,Springer,
conf/wollic/2015,Springer,
conf/wollic/2010,Springer,
conf/cica/2009,IEEE,
conf/cica/2011,IEEE,
conf/cica/2013,IEEE,
conf/cica/2014,IEEE,
conf/coinco/2016,IEEE Computer Society,
conf/coinco/2015,IEEE Computer Society,
conf/icon/2003,IEEE,
conf/icon/2001,IEEE,
conf/icon/2012,IEEE,
conf/icon/2011,IEEE,
conf/icon/2002,IEEE,
conf/icon/2006,IEEE,
conf/icon/2007,IEEE,
conf/icon/2000,IEEE,
conf/icon/2013,IEEE,
conf/icon/2004,IEEE,
conf/ithet/2012,IEEE,
conf/ithet/2016,IEEE,
conf/ithet/2013,IEEE,
conf/ithet/2014,IEEE,
conf/ithet/2015,IEEE,
conf/clif/2016,CEUR-WS.org,
conf/staf/2014tcc,CEUR-WS.org,
conf/staf/2013bigmde,ACM,
conf/staf/2015bigmde,CEUR-WS.org,
conf/staf/2016w,Springer,
conf/staf/2014vao,ACM,
conf/staf/2016bigmde,CEUR-WS.org,
conf/staf/2015bx,CEUR-WS.org,
conf/staf/2015ps,CEUR-WS.org,
conf/staf/2015pame,CEUR-WS.org,
conf/staf/2014volt,CEUR-WS.org,
conf/staf/2015ttc,CEUR-WS.org,
conf/staf/2015ds,CEUR-WS.org,
conf/staf/2016ds,CEUR-WS.org,
conf/staf/2015volt,CEUR-WS.org,
conf/staf/2016ttc,CEUR-WS.org,
conf/staf/2014bigmde,CEUR-WS.org,
conf/wilf/2009,Springer,
conf/wilf/2003,Springer,
conf/wilf/2011,Springer,
conf/wilf/2005,Springer,
conf/wilf/2007,Springer,
conf/wilf/2013,Springer,
conf/fidji/2003,Springer,
conf/fidji/2002,Springer,
conf/vlsid/1999,IEEE Computer Society,
conf/vlsid/2009,IEEE Computer Society,
conf/vlsid/1998,IEEE Computer Society,
conf/vlsid/2003,IEEE Computer Society,
conf/vlsid/2001,IEEE Computer Society,
conf/vlsid/1993,IEEE Computer Society,
conf/vlsid/2011,IEEE Computer Society,
conf/vlsid/2008,IEEE Computer Society,
conf/vlsid/2005,IEEE Computer Society,
conf/vlsid/2002,IEEE Computer Society,
conf/vlsid/1994,IEEE Computer Society,
conf/vlsid/2016,IEEE Computer Society,
conf/vlsid/2006,IEEE Computer Society,
conf/vlsid/2007,IEEE Computer Society,
conf/vlsid/2000,IEEE Computer Society,
conf/vlsid/1995,IEEE Computer Society,
conf/vlsid/2013,IEEE Computer Society,
conf/vlsid/2017,IEEE Computer Society,
conf/vlsid/2014,IEEE Computer Society,
conf/vlsid/2015,IEEE Computer Society,
conf/vlsid/2010,IEEE Computer Society,
conf/vlsid/1992,IEEE Computer Society,
conf/vlsid/1997,IEEE Computer Society,
conf/vlsid/2004,IEEE Computer Society,
conf/cchi/2017,ACM,
conf/cchi/2014,ACM,
conf/cchi/2015,ACM,
conf/ulpaa/1994,Elsevier,
conf/ulpaa/1992,North-Holland,
conf/ipcai/2012,Springer,
conf/ipcai/2011,Springer,
conf/ipcai/2013,Springer,
conf/ipcai/2014,Springer,
conf/ipcai/2010,Springer,
conf/isd/1999,Springer,
conf/eurovav/1999,Kluwer,
conf/eurovav/1993,Universidad Politécnica de Madrid,
conf/eurovav/1991,Logica Ltd. Cambridge UK,
conf/eurovav/1995,ADERIAS-LIA Universite de Savoie,
conf/eurovav/1997,Katholieke Universiteit Leuven Belgium,
conf/evoting/2004,GI,
conf/hotnets/2009,ACM SIGCOMM,
conf/hotnets/2012,ACM,
conf/hotnets/2011,ACM,
conf/hotnets/2008,ACM SIGCOMM,
conf/hotnets/2016,ACM,
conf/hotnets/2007,ACM SIGCOMM,
conf/hotnets/2013,ACM,
conf/hotnets/2014,ACM,
conf/hotnets/2015,ACM,
conf/hotnets/2010,ACM,
conf/ahs/2009,IEEE Computer Society,
conf/ahs/2012,IEEE,
conf/ahs/2011,IEEE,
conf/ahs/2008,IEEE Computer Society,
conf/ahs/2006,IEEE Computer Society,
conf/ahs/2007,IEEE Computer Society,
conf/ahs/2013,IEEE,
conf/ahs/2014,IEEE,
conf/ahs/2015,IEEE,
conf/ahs/2010,IEEE,
conf/cvbia/2005,Springer,
conf/modelsward/2014s,Springer,
conf/modelsward/2015s,Springer,
