PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
books/infix/Obermayer93,Infix Verlag St. Augustin Germany,
books/infix/Reithinger92,Infix Verlag St. Augustin Germany,
books/infix/Neubert94,Infix Verlag St. Augustin Germany,
books/infix/Kaldeich97,Infix Verlag St. Augustin Germany,
books/infix/Moller96,Infix Verlag St. Augustin Germany,
books/infix/Geyer99,Infix Verlag St. Augustin Germany,
books/infix/Rezende97,Infix Verlag St. Augustin Germany,
books/infix/Hormann92,Infix Verlag St. Augustin Germany,
books/infix/Weiss95,Infix Verlag St. Augustin Germany,
books/infix/Turker99,Infix Verlag St. Augustin Germany,
books/infix/Eckstein93,Infix Verlag St. Augustin Germany,
books/infix/Makoui2007,Aka Akademische Verlagsgesellschaft Aka GmbH Berlin,
books/infix/Schuster98,Infix Verlag St. Augustin Germany,
books/infix/Posegga93,Infix Verlag St. Augustin Germany,
books/infix/Specht93,Infix Verlag St. Augustin Germany,
books/infix/Pauli93,Infix Verlag St. Augustin Germany,
books/infix/Jeusfeld92,Infix Verlag St. Augustin Germany,
books/infix/Karbach94,Infix Verlag St. Augustin Germany,
books/infix/Hartmann96,Infix Verlag St. Augustin Germany,
books/infix/Ludewig93,Infix Verlag St. Augustin Germany,
books/infix/Zhao94,Infix Verlag St. Augustin Germany,
books/infix/Masermann99,Infix Verlag St. Augustin Germany,
books/infix/Steinbrunn96,Infix Verlag St. Augustin Germany,
books/infix/Hartroth99,Infix Verlag St. Augustin Germany,
books/infix/Martinetz92,Infix Verlag St. Augustin Germany,
books/infix/Herzog96,Infix Verlag St. Augustin Germany,
books/infix/Moller92,Infix Verlag St. Augustin Germany,
books/infix/Kockskamper96,Infix Verlag St. Augustin Germany,
books/infix/Retschitzegger97,Infix Verlag St. Augustin Germany,
books/infix/Angele93,Infix Verlag St. Augustin Germany,
books/infix/Bergmann96,Infix Verlag St. Augustin Germany,
books/infix/Peithner96,Infix Verlag St. Augustin Germany,
books/infix/Koller92,Infix Verlag St. Augustin Germany,
books/infix/Wohlke92,Infix Verlag St. Augustin Germany,
books/infix/Kudrass97,Infix Verlag St. Augustin Germany,
books/infix/Hotker97,Infix Verlag St. Augustin Germany,
books/infix/Gerlhof96,Infix Verlag St. Augustin Germany,
books/infix/Pagel96,Infix Verlag St. Augustin Germany,
books/infix/Sauer93,Infix Verlag St. Augustin Germany,
books/mk/KhoshafianCWW92,Morgan Kaufmann,
books/mk/FreytagMV91,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Minker88,Morgan Kaufmann,db/publishers/mkp.html
books/mk/WeikumV2002,Morgan Kaufmann,db/publishers/mkp.html
books/mk/KhoshafianD98,Morgan Kaufmann,
books/mk/Quinlan93,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Ginsberg93,Morgan Kaufmann,
books/mk/Celko99,Morgan Kaufmann,db/publishers/mkp.html
books/mk/BancilhonDK92,Morgan Kaufmann,db/publishers/mkp.html
books/mk/WittenGN06,Morgan Kaufmann,db/publishers/mkp.html
books/mk/StonebrakerBM98,Morgan Kaufmann,db/publishers/mkp.html
books/mk/BrodieS95,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Stonebraker88,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Subrahmanian98,Morgan Kaufmann,
books/mk/Natarajan91,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Cattell96,Morgan Kaufmann,db/publishers/mkp.html
books/mk/PattersonH94,Morgan Kaufmann,
books/mk/Celko95,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Lightstone2007,Morgan Kaufmann,
books/mk/Pyle99,Morgan Kaufmann,
books/mk/HanK2000,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Teory98,Morgan Kaufmann,
books/mk/Chamberlin98,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Celko97,Morgan Kaufmann,
books/mk/EppingerMS91,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Melton98,Morgan Kaufmann,
books/mk/Melton00,Morgan Kaufmann,
books/mk/Cattell00,Morgan Kaufmann,
books/mk/LynchMWF93,Morgan Kaufmann,db/publishers/mkp.html
books/mk/PuderR00,Morgan Kaufmann,
books/mk/Hvasshovd99,Morgan Kaufmann,
books/mk/Cox00,Morgan Kaufmann,
books/mk/Melton00a,Morgan Kaufmann,
books/mk/AllenK2001,Morgan Kaufmann,db/publishers/mkp.html
books/mk/WittenF99,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Langley94,Morgan Kaufmann,db/publishers/mkp.html
